product_id,product_name,category,description
P1001,Wireless Headphones,Electronics,High-fidelity Bluetooth wireless headphones with active noise cancellation.
P1002,Smart Watch,Electronics,Waterproof fitness tracker smart watch with heart rate monitor.
P1003,Mechanical Keyboard,Electronics,RGB backlit mechanical keyboard with tactile blue switches.
P1004,Bluetooth Speaker,Electronics,Portable waterproof Bluetooth speaker with 360-degree bass.
P1005,Smartphone Gimbal,Electronics,3-axis smartphone gimbal stabilizer for stable video recording.
P1006,4K Action Camera,Electronics,Ultra HD waterproof action camera with touch screen and stabilization.
P1007,Wireless Charger Pad,Electronics,Fast charging Qi-compatible wireless charger pad for multiple devices.
P1008,Noise Cancelling Earbuds,Electronics,Compact true wireless earbuds with immersive audio experience.
P1009,Smart LED Bulb Pack,Electronics,Wi-Fi enabled color-changing smart LED bulbs compatible with assistants.
P1010,External SSD 1TB,Electronics,High-speed portable solid state drive with USB-C connection.
P1011,Running Shoes,Fashion,Lightweight breathable running shoes with high arch support.
P1012,Leather Jacket,Fashion,Classic genuine leather jacket with zip closure and pockets.
P1013,Designer Sunglasses,Fashion,Polarized UV protection retro style designer sunglasses.
P1014,Canvas Backpack,Fashion,Durable water-resistant canvas backpack for travel and laptop.
P1015,Minimalist Wallet,Fashion,RFID blocking slim leather minimalist wallet for cards.
P1016,Fleece Hoodie,Fashion,Cozy soft fleece pullover hoodie with front kangaroo pocket.
P1017,Casual Chino Pants,Fashion,Slim-fit stretch cotton chino trousers for comfortable daily wear.
P1018,Sports Windbreaker,Fashion,Water-resistant lightweight windbreaker jacket with hood.
P1019,Smart Casual Blazer,Fashion,Modern tailored fit lightweight blazer for formal or casual events.
P1020,Wool Knit Scarf,Fashion,Warm premium wool knit scarf perfect for winter styling.
P1021,Coffee Maker,Home & Kitchen,Programmable drip coffee maker with thermal carafe.
P1022,Air Fryer,Home & Kitchen,Digital touch-screen air fryer oven with presets.
P1023,Chef Knife,Home & Kitchen,Professional high-carbon stainless steel chef knife.
P1024,Vacuum Cleaner,Home & Kitchen,Cordless stick vacuum cleaner with powerful suction.
P1025,Scented Candle Set,Home & Kitchen,Natural soy wax scented candles gift set for home.
P1026,Electric Kettle,Home & Kitchen,Rapid-boil stainless steel electric tea kettle with auto shut-off.
P1027,Non-Stick Cookware Set,Home & Kitchen,Durable non-stick pots and pans set for easy cleaning.
P1028,Memory Foam Pillow,Home & Kitchen,Ergonomic contour memory foam pillow for neck pain relief.
P1029,Robot Vacuum Cleaner,Home & Kitchen,Self-charging robotic vacuum cleaner with smart sensor navigation.
P1030,Air Purifier,Home & Kitchen,"HEPA air purifier for home allergies, pets, and smoke control."
P1031,Sci-Fi Novel,Books,An epic space opera exploring artificial intelligence and humanity.
P1032,Mystery Thriller,Books,A gripping psychological thriller filled with twists and turns.
P1033,Self-Help Book,Books,Practical guide to building good habits and breaking bad ones.
P1034,Recipe Book,Books,Easy healthy recipes for quick weekday meals.
P1035,History Biography,Books,An inspiring biography of an influential historic leader.
P1036,Fantasy Epic,Books,"A legendary journey of magic, swords, and empires in a mystical land."
P1037,Personal Finance Guide,Books,"Smart strategy guide to investing, saving, and wealth creation."
P1038,Science Explainer Book,Books,Accessible breakdown of quantum physics and cosmology concepts.
P1039,Productivity Playbook,Books,Actionable systems to manage time and stop procrastination.
P1040,Creative Writing Guide,Books,Masterclass book detailing character building and plot structures.
P1041,Yoga Mat,Sports & Outdoors,Eco-friendly non-slip yoga mat with carrying strap.
P1042,Water Bottle,Sports & Outdoors,Double-walled vacuum insulated stainless steel water bottle.
P1043,Camping Tent,Sports & Outdoors,Waterproof 4-person camping dome tent with rainfly.
P1044,Adjustable Dumbbells,Sports & Outdoors,Space-saving adjustable dumbbell set for home gym.
P1045,Resistance Bands,Sports & Outdoors,Set of heavy-duty latex resistance exercise bands.
P1046,Hydration Backpack,Sports & Outdoors,Lightweight running and cycling backpack with 2L water bladder.
P1047,Sleeping Sleeping Bag,Sports & Outdoors,Cold weather compact sleeping bag for camping and hiking.
P1048,Pickleball Paddle Set,Sports & Outdoors,Premium graphite pickleball paddles with replacement grips and balls.
P1049,Trekking Poles,Sports & Outdoors,Collapsible carbon fiber trekking poles with cork grips.
P1050,Folding Camping Chair,Sports & Outdoors,Heavy duty portable folding lawn chair with cup holder.
